franchise_id,team_id,league,division,location,nickname,alternative_nicknames,date_start,date_end,city,state
BIR,BIR,NNL;NAL,,Birmingham,Black Barons,,1923-01-01,1948-12-31,Birmingham,AL
BKB,BKB,,,Brooklyn,Bushwicks,,1934-01-01,1934-12-31,Brooklyn,NY
BLG,BLG,NN2,,Baltimore,Elite Giants,,1938-01-01,1948-12-31,Baltimore,MD
BLS,BLS,ECL;ANL,,Baltimore,Black Sox,,1920-01-01,1934-12-31,Baltimore,MD
BRG,BRG,ECL,,Brooklyn,Royal Giants,,1904-01-01,1937-12-31,Brooklyn,NY
BRN,BRN,NN2,,Brooklyn,Eagles,,1935-01-01,1936-12-31,Brooklyn,NY
BRS,BRS,,,Babe Ruth,All Stars,,1935-01-01,1935-12-31,,
CAG,CAG,NN1;NSL;NN2;NAL,,Chicago,American Giants,,1911-01-01,1948-12-31,Chicago,IL
CB1,CB1,NN1,,Columbus,Buckeyes,,1921-01-01,1921-12-31,Columbus,OH
CB2,CB2,NN2,,Columbus,Bluebirds,,1933-01-01,1933-12-31,Columbus,OH
CB3,CB3,NN2,,Columbus,Elite Giants,,1935-01-01,1935-12-31,Columbus,OH
CCA,CCA,NAL,,Cincinnati-Cleveland,Bears,,1942-01-01,1942-12-31,,
CDA,CDA,NAL,,Cincinnati,Tigers,,1937-01-01,1937-12-31,Cincinnati,OH
CI1,CI1,NAL,,Cincinnati,Tigers,,1937-01-01,1937-12-31,Cincinnati,OH
CI2,CI2,NAL,,Cincinnati,Clowns,,1942-01-01,1943-12-31,Cincinnati,OH
CIA,CIA,NAL,,Cincinnati-Indianapolis,Clowns,,1944-01-01,1945-12-31,,
CLG,CLG,,,Cleveland,Giants,,1928-01-01,1928-12-31,Cleveland,OH
CNN,CNN,NN1,,Cincinnati,Cubans,,1921-01-01,1921-12-31,Cincinnati,OH
CUE,CUE,ECL,,Cuban,Stars (East),,1916-01-01,1929-12-31,,
CUH,CUH,,,Cuban,House of David,,1931-01-01,1931-12-31,,
CUP,CUP,EW,,Cuban,Stars,,1932-01-01,1932-12-31,,
CUW,CUW,NN1,,Cuban,Stars (West),,1906-01-01,1930-12-31,,
CV1,CV1,NN1,,Cleveland,Tate Stars,,1922-01-01,1922-12-31,Cleveland,OH
CV2,CV2,NN1,,Cleveland,Browns,,1924-01-01,1924-12-31,Cleveland,OH
CV3,CV3,NN1,,Cleveland,Elites,,1926-01-01,1926-12-31,Cleveland,OH
CV4,CV4,NN1,,Cleveland,Hornets,,1927-01-01,1927-12-31,Cleveland,OH
